43,19,4,2,2,2,1,4,0,0,0,50
44,20,4,2,2,2,1,4,1,0,0,50
45,21,4,2,2,2,1,4,2,0,0,50
46,22,4,2,2,2,1,4,0,0,0,50
47,23,4,2,2,2,1,4,1,0,0,50
48,24,4,2,2,2,1,4,2,0,0,50
49,1,1,2,1,2,1,3,0,0,0,70
50,2,1,2,1,2,1,3,1,0,0,70
51,3,1,2,1,2,1,3,2,0,0,70
52,4,1,2,1,2,1,3,0,0,0,70
53,5,1,2,1,2,1,3,1,0,0,70
54,6,1,2,1,2,1,3,2,0,0,70
55,7,1,2,1,2,1,4,0,0,0,70
56,8,1,2,1,2,1,4,1,0,0,70
57,9,1,2,1,2,1,4,2,0,0,70
58,10,1,2,1,2,1,4,0,0,0,70
59,11,1,2,1,2,1,4,1,0,0,70
60,12,1,2,1,2,1,4,2,0,0,70
61,13,4,2,2,1,2,3,0,0,0,70
62,14,4,2,2,1,2,3,1,0,0,70
63,15,4,2,2,1,2,3,2,0,0,70
64,16,4,2,2,1,2,3,0,0,0,70
65,17,4,2,2,1,2,3,1,0,0,70
66,18,4,2,2,1,2,3,2,0,0,70
67,19,4,2,2,1,2,4,0,0,0,70
68,20,4,2,2,1,2,4,1,0,0,70
69,21,4,2,2,1,2,4,2,0,0,70
70,22,4,2,2,1,2,4,0,0,0,70
71,23,4,2,2,1,2,4,1,0,0,70
72,24,4,2,2,1,2,4,2,0,0,70
73,1,2,2,1,1,2,3,0,0,0,90
74,2,2,2,1,1,2,3,1,0,0,90
75,3,2,2,1,1,2,3,2,0,0,90
76,4,2,2,1,1,2,3,0,0,0,90
77,5,2,2,1,1,2,3,1,0,0,90
78,6,2,2,1,1,2,3,2,0,0,90
79,7,2,2,1,1,2,4,0,0,0,90
80,8,2,2,1,1,2,4,1,0,0,90
81,9,2,2,1,1,2,4,2,0,0,90
82,10,2,2,1,1,2,4,0,0,0,90
83,11,2,2,1,1,2,4,1,0,0,90
84,12,2,2,1,1,2,4,2,0,0,90
85,13,3,2,2,2,1,3,0,0,0,90
86,14,3,2,2,2,1,3,1,0,0,90
87,15,3,2,2,2,1,3,2,0,0,90
88,16,3,2,2,2,1,3,0,0,0,90
89,17,3,2,2,2,1,3,1,0,0,90
90,18,3,2,2,2,1,3,2,0,0,90
91,19,3,2,2,2,1,4,0,0,0,90
92,20,3,2,2,2,1,4,1,0,0,90
93,21,3,2,2,2,1,4,2,0,0,90
94,22,3,2,2,2,1,4,0,0,0,90
95,23,3,2,2,2,1,4,1,0,0,90
96,24,3,2,2,2,1,4,2,0,0,90
97,1,2,2,1,1,2,3,0,0,0,110
98,2,2,2,1,1,2,3,1,0,0,110
99,3,2,2,1,1,2,3,2,0,0,110
100,4,2,2,1,1,2,3,0,0,0,110
101,5,2,2,1,1,2,3,1,0,0,110
102,6,2,2,1,1,2,3,2,0,0,110
103,7,2,2,1,2,1,4,0,0,0,110
104,8,2,2,1,2,1,4,1,0,0,110
105,9,2,2,1,2,1,4,2,0,0,110
106,10,2,2,1,2,1,4,0,0,0,110
107,11,2,2,1,2,1,4,1,0,0,110
108,12,2,2,1,2,1,4,2,0,0,110
109,13,3,2,2,1,2,3,0,0,0,110
110,14,3,2,2,1,2,3,1,0,0,110
111,15,3,2,2,1,2,3,2,0,0,110
112,16,3,2,2,1,2,3,0,0,0,110
113,17,3,2,2,1,2,3,1,0,0,110
114,18,3,2,2,1,2,3,2,0,0,110
115,19,3,2,2,2,1,4,0,0,0,110
116,20,3,2,2,2,1,4,1,0,0,110
117,21,3,2,2,2,1,4,2,0,0,110
118,22,3,2,2,2,1,4,0,0,0,110
119,23,3,2,2,2,1,4,1,0,0,110
120,24,3,2,2,2,1,4,2,0,0,110
121,1,2,2,1,2,1,3,0,0,0,130
122,2,2,2,1,2,1,3,1,0,0,130
123,3,2,2,1,2,1,3,2,0,0,130
124,4,2,2,1,2,1,3,0,0,0,130
125,5,2,2,1,2,1,3,1,0,0,130
126,6,2,2,1,2,1,3,2,0,0,130
127,7,2,2,1,2,1,4,0,0,0,130
128,8,2,2,1,2,1,4,1,0,0,130
129,9,2,2,1,2,1,4,2,0,0,130
130,10,2,2,1,2,1,4,0,0,0,130
131,11,2,2,1,2,1,4,1,0,0,130
132,12,2,2,1,2,1,4,2,0,0,130
133,13,3,2,2,1,2,3,0,0,0,130
134,14,3,2,2,1,2,3,1,0,0,130
135,15,3,2,2,1,2,3,2,0,0,130
136,16,3,2,2,1,2,3,0,0,0,130
137,17,3,2,2,1,2,3,1,0,0,130
138,18,3,2,2,1,2,3,2,0,0,130
139,19,3,2,2,1,2,4,0,0,0,130
140,20,3,2,2,1,2,4,1,0,0,130
141,21,3,2,2,1,2,4,2,0,0,130
142,22,3,2,2,1,2,4,0,0,0,130
143,23,3,2,2,1,2,4,1,0,0,130
144,24,3,2,2,1,2,4,2,0,0,130
